"Year","LocationAbbr","LocationDesc","GeographicLevel","DataSource","Class","Topic","Data_Value","Data_Value_Unit","Data_Value_Type","Data_Value_Footnote_Symbol","Data_Value_Footnote","Confidence_limit_Low","Confidence_limit_High","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","StratificationCategory3","Stratification3","LocationID"
"2019","AL","Autauga","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","American Indian/Alaska Native","Sex","Overall","01001"
"2019","AL","Autauga","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","158.6","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","137.4","181.2","Age group","Ages 35-64 years","Race","Overall","Sex","Overall","01001"
"2019","AL","Autauga","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","111.7","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","96.8","130.7","Age group","Ages 35-64 years","Race","Overall","Sex","Women","01001"
"2019","AL","Autauga","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","231","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","203.3","262.2","Age group","Ages 35-64 years","Race","Overall","Sex","Men","01001"
"2019","AL","Autauga","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","Asian/Pacific Islander","Sex","Overall","01001"
"2019","AL","Autauga","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","235.5","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","197.4","271.1","Age group","Ages 35-64 years","Race","Black (Non-Hispanic)","Sex","Overall","01001"
"2019","AL","Autauga","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","53.4","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","42","72.9","Age group","Ages 35-64 years","Race","Hispanic","Sex","Overall","01001"
"2019","AL","Autauga","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","144.2","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","121.4","171.3","Age group","Ages 35-64 years","Race","White","Sex","Overall","01001"
"2019","AL","Autauga","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","American Indian/Alaska Native","Sex","Overall","01001"
"2019","AL","Autauga","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","1743.5","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","1580.5","1887.1","Age group","Ages 65 years and older","Race","Overall","Sex","Overall","01001"
"2019","AL","Autauga","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","1513.8","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","1369.9","1674.8","Age group","Ages 65 years and older","Race","Overall","Sex","Women","01001"
